employee_id,first_name,last_name,email,address,phone_number,clocked_in,date_hired
E569321738-8,Emelita,Cuthbertson,ecuthbertsonr@marketwatch.com,368 1st Alley,591-578-0263,10/22/2020 0:00,7/27/2004
E002730958-4,Anette,Nare,anare0@goo.ne.jp,51 Transport Junction,871-450-8734,10/22/2020 0:37,4/19/2005
E173766832-7,Galvan,Barke,gbarke1o@wsj.com,4 Westerfield Center,719-634-1163,10/22/2020 0:43,5/11/2019
E767582271-4,Horatius,Scobie,hscobie2r@ask.com,46489 Corry Crossing,194-578-0042,10/22/2020 0:44,3/28/2005
E994400969-5,Lucky,Slessar,lslessar2i@wordpress.org,7 8th Point,781-555-9069,10/22/2020 0:46,11/9/2015
E238784262-6,Geoffry,Mattusov,gmattusov1h@fastcompany.com,0305 Clarendon Lane,347-643-2335,10/22/2020 0:48,5/12/2006
E549193235-3,Rab,Dedham,rdedham8@hatena.ne.jp,0791 Farragut Road,444-903-1024,10/22/2020 0:49,10/9/2006
E932383184-0,Magdalen,Habble,mhabble2a@yahoo.com,62 Merrick Terrace,820-692-6510,10/22/2020 1:14,2/7/2018
E098634491-5,Andie,Rankine,arankineo@freewebs.com,872 Columbus Court,191-586-5737,10/22/2020 1:28,12/6/2013
E035866010-6,Malissa,Mummery,mmummery2k@blog.com,415 Bluejay Hill,807-685-2077,10/22/2020 2:01,10/6/2002
E628590413-8,Robby,Axworthy,raxworthy1d@merriam-webster.com,86155 Orin Lane,703-222-7157,10/22/2020 2:09,11/8/2004
E259950699-9,Lindy,Rops,lrops1@booking.com,8705 Del Sol Place,316-259-8642,10/22/2020 2:30,9/18/2003
E268775104-9,Bealle,Jira,bjiral@liveinternet.ru,74 Upham Point,504-311-4168,10/22/2020 2:41,8/1/2011
E370350098-0,Meris,Stockton,mstocktonj@furl.net,52 Boyd Circle,214-927-1304,10/22/2020 2:42,6/20/2015
E874903957-1,Cleavland,Greggersen,cgreggersen1n@google.ca,8 Redwing Way,814-328-7660,10/22/2020 2:49,1/16/2019
E316442525-2,Chucho,Seres,cseresv@amazon.co.jp,5 Autumn Leaf Plaza,772-531-4999,10/22/2020 2:59,4/7/2009
E122366432-5,Ruy,Dun,rdun2@amazon.co.jp,62 Stone Corner Parkway,964-582-8139,10/22/2020 3:11,1/22/2006
E223725169-X,Dorise,Zimmermanns,dzimmermanns1p@vkontakte.ru,65536 Westerfield Drive,136-240-1043,10/22/2020 3:29,7/19/2005
E265604863-X,Lindsey,Harpham,lharpham23@cbsnews.com,857 Eagle Crest Avenue,360-512-3630,10/22/2020 3:33,1/18/2005
E564877819-8,Horatio,Roll,hroll29@behance.net,42 Tony Junction,776-974-4086,10/22/2020 3:38,1/15/2008
E728914929-7,Rustin,Burds,rburdsb@linkedin.com,63 Acker Center,162-683-1619,10/22/2020 3:52,1/5/2008
E573157662-9,Sabrina,Laying,slayingx@spiegel.de,9 Maywood Hill,142-346-0533,10/22/2020 3:53,12/7/2013
E389203237-8,Meir,Root,mrootz@sourceforge.net,1832 Westridge Crossing,641-142-2868,10/22/2020 4:08,5/18/2007
